iter	Passed	Remaining
157	243	1295
158	243	1288
159	244	1282
160	244	1274
161	245	1268
162	245	1261
163	246	1255
164	246	1248
165	247	1242
166	247	1236
167	248	1230
168	249	1224
169	249	1218
170	250	1212
171	250	1207
172	251	1201
173	251	1196
174	252	1190
175	253	1185
176	253	1180
177	254	1174
178	254	1169
179	255	1164
180	256	1158
181	256	1153
182	257	1148
183	258	1144
184	258	1139
185	259	1134
186	259	1129
187	260	1124
188	260	1119
189	261	1114
190	261	1109
191	262	1104
192	263	1100
193	263	1095
194	264	1090
195	264	1086
196	265	1081
197	265	1077
198	266	1072
199	267	1068
200	267	1064
201	268	1060
202	269	1056
203	269	1052
204	270	1048
205	271	1044
206	271	1040
207	272	1036
208	272	1032
209	273	1028
210	274	1024
211	274	1020
212	275	1016
213	275	1013
214	276	1009
215	276	1005
216	277	1001
217	278	997
218	278	994
219	279	990
220	280	987
221	280	983
222	281	979
223	281	976
224	282	973
225	283	970
226	283	966
227	284	963
228	285	960
229	285	957
230	286	954
231	287	951
232	287	947
233	288	943
234	288	940
235	289	937
236	290	933
237	290	931
238	291	927
239	292	924
240	292	921
241	293	918
242	293	915
243	294	912
244	295	909
245	295	906
246	296	902
247	296	899
248	297	896
249	297	893
250	298	890
251	299	888
252	299	885
253	300	882
254	301	879
255	301	876
256	303	876
257	303	873
258	304	870
259	304	867
260	305	864
261	305	861
262	306	858
263	306	855
264	307	852
265	307	849
266	308	846
267	308	843
268	309	841
269	310	838
270	310	835
271	311	832
272	311	830
273	312	827
274	313	825
275	313	823
276	314	821
277	315	818
278	316	816
279	316	814
280	317	811
281	317	809
282	318	806
283	318	804
284	319	801
285	320	798
286	320	796
287	321	793
288	321	791
289	322	788
290	322	786
291	323	784
292	323	781
293	324	779
294	325	776
295	325	774
296	326	772
297	326	769
298	327	767
299	328	765
300	328	763
301	329	761
302	330	759
303	330	757
304	331	755
305	332	753
306	332	750
307	333	748
308	333	746
309	334	743
310	334	741
311	335	739
312	335	736
313	336	734
314	337	732
315	337	730
316	338	728
317	338	726
318	339	724
319	339	722
320	340	719
321	340	717
322	341	715
323	342	713
324	342	711
325	343	709
326	343	707
327	344	705
328	345	704
329	345	702
330	346	700
331	346	697
332	347	696
333	348	693
334	348	691
335	349	689
336	349	687
337	350	685
338	350	683
339	351	681
340	351	679
341	352	677
342	352	675
343	353	673
344	353	671
345	354	669
346	354	667
347	355	666
348	355	664
349	356	662
350	357	660
351	357	658
352	358	657
353	359	655
354	359	653
355	360	652
356	361	650
357	361	648
358	362	647
359	363	645
360	363	643
361	364	642
362	364	640
363	365	638
364	366	636
365	366	635
366	367	633
367	367	631
368	368	629
369	368	628
370	369	626
371	369	624
372	370	623
373	371	621
374	371	619
375	372	617
376	373	616
377	373	615
378	374	613
379	375	612
380	375	610
381	376	609
382	377	607
383	377	605
384	378	604
385	378	602
386	379	600
387	379	599
388	380	597
389	381	596
390	381	594
391	382	592
392	382	591
393	383	589
394	383	587
395	384	586
396	384	584
397	385	582
398	385	581
399	386	579
400	387	578
401	387	576
402	388	575
403	389	574
404	389	572
405	390	571
406	391	569
407	391	568
408	392	566
409	392	564
410	393	563
411	393	561
412	393	559
413	394	558
414	394	556
415	395	555
416	395	553
417	396	552
418	397	550
419	397	549
420	398	547
421	398	546
422	399	544
423	399	543
424	400	541
425	400	540
426	401	538
427	402	537
428	402	536
429	403	535
430	404	533
431	404	532
432	405	530
433	406	529
434	406	528
435	407	526
436	407	525
437	408	523
438	408	522
439	409	521
440	409	519
441	410	518
442	411	516
443	411	515
444	412	514
445	412	512
446	413	511
447	414	510
448	414	508
449	415	507
450	415	506
451	416	504
452	416	503
453	417	502
454	418	501
455	418	499
456	419	498
457	420	497
458	420	495
459	421	494
460	421	493
461	422	492
462	423	490
463	423	489
464	424	488
465	424	486
466	425	485
467	425	483
468	426	482
469	426	481
470	427	479
471	427	478
472	428	477
473	428	475
474	429	474
475	429	473
476	430	471
477	431	470
478	431	469
479	432	468
480	432	467
481	433	465
482	434	464
483	434	463
484	435	462
485	436	461
486	436	460
487	437	458
488	437	457
489	438	456
490	438	455
491	439	453
492	440	452
493	440	451
494	441	450
495	441	448
496	442	447
497	442	446
498	443	445
499	443	443
500	444	442
501	444	441
502	445	440
503	446	439
504	446	437
505	447	436
506	447	435
507	448	434
508	449	433
509	450	432
510	451	431
511	451	430
512	452	429
513	453	428
514	453	427
515	454	426
516	455	425
517	455	423
518	456	422
519	456	421
520	457	420
521	457	419
522	458	418
523	459	416
524	459	415
525	460	414
526	460	413
527	461	412
528	462	411
529	462	410
530	463	409
531	464	408
532	464	407
533	465	406
534	465	404
535	466	403
536	467	402
537	467	401
538	468	400
539	469	399
540	469	398
541	470	397
542	470	396
543	471	395
544	471	393
545	472	392
546	473	391
547	473	390
548	474	389
549	474	388
550	475	387
551	475	386
552	476	385
553	477	384
554	477	383
555	478	382
556	479	381
557	479	380
558	480	379
559	481	378
560	481	377
561	482	376
562	483	375
563	483	374
564	484	372
565	484	371
566	485	370
567	486	369
568	486	368
569	487	367
570	487	366
571	488	365
572	488	364
573	489	363
574	489	362
575	490	361
576	491	360
577	491	359
578	492	357
579	492	356
580	493	355
581	494	354
582	494	354
583	495	352
584	496	351
585	496	350
586	497	349
587	497	348
588	498	347
589	498	346
590	499	345
591	499	344
592	500	343
593	501	342
594	501	341
595	502	340
596	502	339
597	503	338
598	503	337
599	504	336
600	504	335
601	505	334
602	505	333
603	506	332
604	507	331
605	507	330
606	508	329
607	509	328
608	510	327
609	511	326
610	511	325
611	512	325
612	513	324
613	513	323
614	514	322
615	515	321
616	515	320
617	516	319
618	517	318
619	517	317
620	518	316
621	519	315
622	519	314
623	520	313
624	521	312
625	521	311
626	522	310
627	523	309
628	523	308
629	524	308
630	525	307
631	526	306
632	526	305
633	527	304
634	528	303
635	528	302
636	529	301
637	529	300
638	530	299
639	531	298
640	531	297
641	532	296
642	533	295
643	533	295
644	534	294
645	534	293
646	535	292
647	536	291
648	536	290
649	537	289
650	537	288
651	538	287
652	539	286
653	539	285
654	540	284
655	540	283
656	541	282
657	542	281
658	542	280
659	543	280
660	544	279
661	545	278
662	545	277
663	546	276
664	547	275
665	547	274
666	548	273
667	548	272
668	549	271
669	549	270
670	550	269
671	550	268
672	551	267
673	552	267
674	552	266
675	553	265
676	554	264
677	554	263
678	555	262
679	556	261
680	556	260
681	557	259
682	557	258
683	558	258
684	559	257
685	559	256
686	560	255
687	560	254
688	561	253
689	562	252
690	562	251
691	563	250
692	563	249
693	564	248
694	564	247
695	565	246
696	565	245
697	566	245
698	566	244
699	567	243
700	568	242
701	568	241
702	569	240
703	570	239
704	571	239
705	571	238
706	572	237
707	573	236
708	573	235
709	574	234
710	575	233
711	575	232
712	576	231
713	576	231
714	577	230
715	578	229
716	578	228
717	579	227
718	579	226
719	580	225
720	580	224
721	581	223
722	581	222
723	582	222
724	582	221
725	583	220
726	584	219
727	584	218
728	585	217
729	586	216
730	587	216
731	588	215
732	588	214
733	589	213
734	589	212
735	590	211
736	590	210
737	591	209
738	591	209
739	592	208
740	592	207
741	593	206
742	593	205
743	594	204
744	595	203
745	595	202
746	596	201
747	596	200
748	597	200
749	597	199
750	598	198
751	599	197
752	599	196
753	600	195
754	600	195
755	601	194
756	602	193
757	602	192
758	603	191
759	603	190
760	604	189
761	605	188
762	605	188
763	606	187
764	606	186
765	607	185
766	607	184
767	608	183
768	609	182
769	609	182
770	610	181
771	610	180
772	611	179
773	611	178
774	612	177
775	613	176
776	613	176
777	614	175
778	614	174
779	615	173
780	615	172
781	616	171
782	617	171
783	617	170
784	618	169
785	618	168
786	619	167
787	619	166
788	620	165
789	620	165
790	621	164
791	622	163
792	622	162
793	623	161
794	624	160
795	624	160
796	625	159
797	625	158
798	626	157
799	627	156
800	627	155
801	628	155
802	629	154
803	630	153
804	630	152
805	631	152
806	632	151
807	633	150
808	633	149
809	634	148
810	634	147
811	635	147
812	636	146
813	636	145
814	637	144
815	638	143
816	638	143
817	639	142
818	639	141
819	640	140
820	641	139
821	641	138
822	642	138
823	643	137
824	644	136
825	644	135
826	645	135
827	646	134
828	646	133
829	647	132
830	648	131
831	649	131
832	649	130
833	650	129
834	651	128
835	652	127
836	652	127
837	653	126
838	653	125
839	654	124
840	655	123
841	655	123
842	656	122
843	657	121
844	657	120
845	658	119
846	658	119
847	659	118
848	660	117
849	660	116
850	661	115
851	662	115
852	663	114
853	663	113
854	664	112
855	664	111
856	665	111
857	666	110
858	666	109
859	667	108
860	667	107
861	668	107
862	668	106
863	669	105
864	670	104
865	670	103
866	671	102
867	671	102
868	672	101
869	672	100
870	673	99
871	673	98
872	674	98
873	674	97
874	675	96
875	676	95
876	677	95
877	678	94
878	678	93
879	679	92
880	679	91
881	680	91
882	681	90
883	681	89
884	682	88
885	682	87
886	683	87
887	684	86
888	684	85
889	685	84
890	685	83
891	686	83
892	687	82
893	687	81
894	688	80
895	688	79
896	689	79
897	689	78
898	690	77
899	691	76
900	691	76
901	692	75
902	693	74
903	693	73
904	694	72
905	694	72
906	695	71
907	695	70
908	696	69
909	696	68
910	697	68
911	698	67
912	698	66
913	699	65
914	699	65
915	700	64
916	700	63
917	701	62
918	702	61
919	702	61
920	703	60
921	703	59
922	704	58
923	704	57
924	705	57
925	706	56
926	706	55
927	707	54
928	707	54
929	708	53
930	708	52
931	709	51
932	709	50
933	710	50
934	711	49
935	711	48
936	712	47
937	713	47
938	713	46
939	714	45
940	715	44
941	715	44
942	716	43
943	716	42
944	717	41
945	718	40
946	718	40
947	719	39
948	720	38
949	720	37
950	721	37
951	722	36
952	723	35
953	724	34
954	724	34
955	725	33
956	726	32
957	727	31
958	727	31
959	728	30
960	728	29
961	729	28
962	730	28
963	730	27
964	731	26
965	731	25
966	732	24
967	733	24
968	733	23
969	734	22
970	734	21
971	735	21
972	736	20
973	736	19
974	737	18
975	738	18
976	739	17
977	739	16
978	740	15
979	740	15
980	741	14
981	741	13
982	742	12
983	742	12
984	743	11
985	743	10
986	744	9
987	744	9
988	745	8
989	745	7
990	746	6
991	747	6
992	747	5
993	748	4
994	748	3
995	749	3
996	749	2
997	750	1
998	751	0
999	751	0
